"ii","Dim2","rr","Val"
"ros","gro","ROE",-0.00554446291920111
"ros","gro","ANZ",-0.00821207733201751
"ros","gro","MES",-9.6205826978673E-5
"ros","gro","AFR",-0.00928243382944234
"ros","gro","IDZ",-0.161942496708956
"ros","v_f","CHN",-0.00387888289804329
"ros","v_f","KOR",-0.0404758471991917
"ros","v_f","CAN",-0.0152234137618615
"ros","v_f","MEX",-0.0889962949156015
"ros","v_f","RUS",-0.0472909354341984
"ros","v_f","LAM",-0.000358694737430831
"ros","v_f","EUR",-0.000428924015462505
"ros","v_f","ROE",-0.00613957383486196
"ros","v_f","ANZ",-0.00582179032388394
"ros","v_f","MES",-0.000943049481645893
"ros","v_f","AFR",-0.00815761749124768
"ros","v_f","IDZ",-0.105650530234067
"ros","osd","CHN",-0.0138072417667994
"ros","osd","KOR",-0.0674082832473152
"ros","osd","CAN",-0.0148935661480409
"ros","osd","USA",-0.0466263284170922
"ros","osd","BRA",-0.039385326548923
"ros","osd","RUS",-0.07958250383914
"ros","osd","EUR",-0.000296700254782589
"ros","osd","ROE",-0.00590687989925501
"ros","osd","ANZ",-0.00982682956903064
"ros","osd","MES",-0.00384417445739635
"ros","osd","AFR",-0.00518317373226612
"ros","osd","IDZ",-0.129205894730199
"ros","c_b","CHN",-0.017087651282138
"ros","c_b","MEX",-0.0876071413046223
"ros","c_b","BRA",-0.0629653471351034
"ros","c_b","RUS",-0.154144989816252
"ros","c_b","EUR",-0.000250754439088403
"ros","c_b","ROE",-0.0151415419040023
"ros","c_b","ANZ",-0.010424107484541
"ros","c_b","MES",-0.00681052963249832
"ros","c_b","AFR",-0.009112478327147
"ros","c_b","IDZ",-0.142484603270015
"ros","pfb","CHN",-0.0187471324031117
"ros","pfb","CAN",-0.0159359787858975
"ros","pfb","USA",-0.0440627081698407
"ros","pfb","MEX",-0.0892571060256149
"ros","pfb","BRA",-0.0287793025414979
"ros","pfb","EUR",-0.000128566924471091
"ros","pfb","ROE",-0.0117196521580618
"ros","pfb","ANZ",-0.00382199701201077
"ros","pfb","MES",-0.00222063710751275
"ros","pfb","AFR",-0.00732034626765294
"ros","pfb","IDZ",-0.117118164998459
"ros","ocr","CHN",-0.0173785820789873
"ros","ocr","JPN",-0.0187745896366155
"ros","ocr","KOR",-0.0452976848504573
"ros","ocr","CAN",-0.0384395785005581
"ros","ocr","USA",-0.049504942641762
"ros","ocr","MEX",-0.0846167268521546
"ros","ocr","BRA",-0.0121491541920145
"ros","ocr","LAM",-2.93480538035564E-5
"ros","ocr","EUR",-0.000227559272389095
"ros","ocr","ROE",-0.0130746501272659
"ros","ocr","ANZ",-0.0188162389246104
"ros","ocr","MES",-0.000434538814700946
"ros","ocr","AFR",-0.000905330014605605
"ros","ocr","IDZ",-0.136993931234848
"ros","ctl","CHN",-0.013477223090895
"ros","ctl","JPN",-0.0157577514551672
"ros","ctl","KOR",-0.0104248000991995
"ros","ctl","CAN",-0.0174974697267016
"ros","ctl","MEX",-0.0797439929923995
"ros","ctl","RUS",-0.034641658182878
"ros","ctl","LAM",-0.000135784799438079
"ros","ctl","EUR",-0.000488399668362011
"ros","ctl","ROE",-0.00126046683974191
"ros","ctl","ANZ",-0.00372284428362729
"ros","ctl","MES",-0.000209544655435222
"ros","ctl","AFR",-0.00516243423197876
"ros","ctl","IDZ",-0.00385827959969443
"ros","oap","CHN",-0.0154845499967049
"ros","oap","KOR",-0.00834317154492592
"ros","oap","CAN",-0.0167578914300319
"ros","oap","MEX",-0.0734415437292325
"ros","oap","RUS",-0.0186111340798431
"ros","oap","LAM",-0.000862052577948052
"ros","oap","EUR",-0.000398000497659128
"ros","oap","ROE",-0.000402533405229244
"ros","oap","ANZ",-0.00688453641116949
"ros","oap","MES",-0.000253996214167338
"ros","oap","AFR",-0.00472192176612444
"ros","oap","IDZ",-0.00482651220327623
"ros","rmk","CHN",-0.0152394164834384
"ros","rmk","KOR",-0.0101184216257926
"ros","rmk","CAN",-0.0173325449006947
"ros","rmk","MEX",-0.0720614598229327
"ros","rmk","RUS",-0.0334365651541531
"ros","rmk","LAM",-0.000384796460017777
"ros","rmk","EUR",-0.00057280826855885
"ros","rmk","ROE",-0.00154206204213543
"ros","rmk","ANZ",-0.00683850013706008
"ros","rmk","MES",-0.000167444005413689
"ros","rmk","AFR",-0.00251895503641737
"ros","wol","CHN",-0.0155133169932745
"ros","wol","RUS",-0.0194407366308055
"ros","wol","EUR",-0.000324088612105539
"ros","wol","ROE",-0.000385797252145063
"ros","wol","ANZ",-0.0065210975815758
"ros","wol","AFR",-0.00636839820989706
"ros","wol","IDZ",-0.0043140606110742
"ros","coa","REA",-2.68212002976376E-7
"ros","coa","AFR",3.14183976827257E-9
"ros","gas","LAM",3.31733000917151E-10
"ros","gas","REA",-3.10592354338231E-10
"ros","gas","AFR",2.26821061984744E-6
"ros","p_c","AFR",6.98031138243886E-10
"ros","i_s","AFR",-5.94515290401771E-10
"ros","mvh","AFR",1.54026947459922E-9
"ros","wtr","LAM",-2.95233843581979E-9
"ros","wtr","ROE",3.25914863793997E-10
