"ff","Dim2","rr","Val"
"lab","c_b","REA",0.0073083330845528
"lab","c_b","ANZ",-0.00329387033874786
"lab","c_b","MES",0.120575640163776
"lab","c_b","AFR",0.0519475558247057
"lab","c_b","IDZ",0.0149005661132083
"lab","pfb","CHN",-0.0129164454277526
"lab","pfb","TWN",0.16172719938578
"lab","pfb","IND",0.000565287155021208
"lab","pfb","CAN",0.0355028394378275
"lab","pfb","USA",0.0252261617083707
"lab","pfb","MEX",-0.00100950122648313
"lab","pfb","BRA",0.25066596363233
"lab","pfb","RUS",0.272721116733327
"lab","pfb","LAM",0.0699559302936133
"lab","pfb","EUR",0.125666110431769
"lab","pfb","ROE",0.139370884971103
"lab","pfb","ASI",0.00681353107145065
"lab","pfb","REA",0.00864512685987546
"lab","pfb","ANZ",-0.145977160636226
"lab","pfb","MES",0.188890157004127
"lab","pfb","AFR",0.0351950244412698
"lab","pfb","IDZ",0.0148542133118714
"lab","ocr","CHN",-0.0120692475377051
"lab","ocr","JPN",0.0642878136639635
"lab","ocr","KOR",-0.0207349774634823
"lab","ocr","TWN",0.161727130997812
"lab","ocr","IND",0.000565296542323605
"lab","ocr","CAN",-0.378000539460403
"lab","ocr","USA",0.0275564079393376
"lab","ocr","MEX",0.00141156159626653
"lab","ocr","BRA",0.258365244945769
"lab","ocr","RUS",0.271324570793585
"lab","ocr","LAM",0.0619557041528274
"lab","ocr","EUR",0.409143250044542
"lab","ocr","ROE",0.151434317181462
"lab","ocr","ASI",0.00867201884192784
"lab","ocr","REA",0.0162663619587427
"lab","ocr","ANZ",0.0211195265672589
"lab","ocr","MES",0.192266807837117
"lab","ocr","AFR",0.0743812720288951
"lab","ocr","IDZ",0.014878720167631
"lab","ctl","CHN",-0.0138757468214926
"lab","ctl","JPN",0.0881492551956077
"lab","ctl","KOR",-0.00639985082460612
"lab","ctl","TWN",0.161727098124839
"lab","ctl","IND",0.000565274069788609
"lab","ctl","CAN",0.0411369431355666
"lab","ctl","USA",0.02342264067092
"lab","ctl","MEX",0.00502895456916808
"lab","ctl","BRA",0.258365272463194
"lab","ctl","RUS",0.273285466576312
"lab","ctl","LAM",0.073746376729727
"lab","ctl","EUR",0.278462539378618
"lab","ctl","ROE",0.0898312907113511
"lab","ctl","ASI",0.00681046484319436
"lab","ctl","REA",0.0640309138268685
"lab","ctl","ANZ",-0.0157337264308913
"lab","ctl","MES",0.206996662809708
"lab","ctl","AFR",0.10292983422052
"lab","ctl","IDZ",0.0147622951297168
"lab","oap","CHN",-0.0123469433423079
"lab","oap","JPN",0.0713906848298313
"lab","oap","KOR",-0.0417369243049894
