"ii","rr","ss","Val"
"gro","MES","ASI",0.0119738101072066
"gro","MES","REA",0.0448162134180703
"gro","MES","MES",0.0221614238321827
"gro","MES","AFR",0.043270837940848
"gro","AFR","CHN",0.00103350240864528
"gro","AFR","JPN",0.0561376109835216
"gro","AFR","KOR",4.17552033412543
"gro","AFR","TWN",0.000422707441958813
"gro","AFR","IND",0.110685284121176
"gro","AFR","CAN",4.34938530549712E-6
"gro","AFR","USA",0.000571149100973688
"gro","AFR","MEX",0.0596926916854444
"gro","AFR","BRA",0.0017082400748099
"gro","AFR","RUS",0.00146062840026269
"gro","AFR","LAM",0.00267302656531846
"gro","AFR","EUR",0.000368576860527454
"gro","AFR","ROE",0.451488422007099
"gro","AFR","ASI",0.0291476822658552
"gro","AFR","REA",0.0101349380040071
"gro","AFR","MES",0.0536841749479756
"gro","AFR","AFR",0.0243566430656327
"gro","AFR","IDZ",0.0220643214912795
"gro","IDZ","JPN",0.0766427613997134
"gro","IDZ","KOR",3.21736197360343
"gro","IDZ","TWN",0.0160000578703576
"gro","IDZ","ASI",0.0961981660954232
"gro","IDZ","REA",5.33775006779366E-5
"gro","IDZ","MES",0.00407687716642418
"gro","IDZ","AFR",0.0303398655184721
"v_f","CHN","JPN",0.178359660351106
"v_f","CHN","KOR",1.5225449096617
"v_f","CHN","TWN",0.174962081048144
"v_f","CHN","IND",0.352969774473618
"v_f","CHN","CAN",0.0138899896761515
"v_f","CHN","USA",0.0137210918222754
"v_f","CHN","MEX",0.623546427830106
"v_f","CHN","BRA",0.122058028155982
"v_f","CHN","RUS",0.103661576364325
"v_f","CHN","LAM",0.136678512037821
"v_f","CHN","EUR",0.10842401781749
"v_f","CHN","ROE",0.119516920667201
"v_f","CHN","ASI",0.0875417341574203
"v_f","CHN","REA",0.044100269450451
"v_f","CHN","ANZ",0.0112413997421061
"v_f","CHN","MES",0.0889176438082633
"v_f","CHN","AFR",0.192569888187343
"v_f","JPN","CHN",0.0476972910985058
"v_f","JPN","KOR",1.45758392386957
"v_f","JPN","TWN",0.207185129659134
"v_f","JPN","IND",0.299550990242651
"v_f","JPN","CAN",0.00483082742346497
"v_f","JPN","USA",0.0754816780866392
"v_f","JPN","RUS",0.116916838127808
"v_f","JPN","LAM",0.0568904922520279
"v_f","JPN","EUR",0.121068285419666
"v_f","JPN","ROE",0.0399968129581488
"v_f","JPN","ASI",0.0875737587835586
"v_f","JPN","REA",0.0899440873802094
"v_f","JPN","ANZ",0.0438418943526833
"v_f","JPN","MES",0.0062098989409818
"v_f","JPN","AFR",0.213320882564471
"v_f","JPN","IDZ",0.0470422184959751
"v_f","KOR","CHN",0.165485806260087
"v_f","KOR","JPN",0.0467545620792105
"v_f","KOR","TWN",0.307353262881965
"v_f","KOR","IND",0.313638676924577
"v_f","KOR","CAN",0.0308198693481909
"v_f","KOR","USA",0.0161606229311646
"v_f","KOR","RUS",0.0697799091948355
"v_f","KOR","LAM",0.0108535242088514
"v_f","KOR","EUR",0.010222382638289
"v_f","KOR","ASI",0.0716932850371576
"v_f","KOR","REA",0.13132471011861
"v_f","KOR","ANZ",0.0453114003000891
"v_f","KOR","MES",0.0216986299645777
"v_f","KOR","AFR",0.12197945061171
"v_f","KOR","IDZ",0.00448403116637097
"v_f","TWN","CHN",0.0418100072601299
"v_f","TWN","JPN",0.0754623150959246
"v_f","TWN","KOR",0.338889121034056
"v_f","TWN","IND",0.285902285156711
"v_f","TWN","CAN",0.0046989565517408
"v_f","TWN","USA",0.0167385272805822
"v_f","TWN","MEX",0.193398171116814
"v_f","TWN","BRA",0.174133762982726
"v_f","TWN","RUS",0.134041645773431
"v_f","TWN","LAM",0.0177277006695293
"v_f","TWN","EUR",0.0639959096942416
"v_f","TWN","ROE",0.111330904648903
"v_f","TWN","ASI",0.0296920259127365
"v_f","TWN","REA",0.0460763058913834
"v_f","TWN","ANZ",0.0272652544442365
